Unidade do agendamento,Grupo,Procedimentos Padronizados,Quantidade (cortesia),Custo Direto (corteisa)
SÃO BERNARDO,ESTÉTICA,LIMPEZA DE PELE,13,516.62
SÃO BERNARDO,ESTÉTICA,PEELING DE DIAMANTE,35,1144.8500000000001
SÃO BERNARDO,LAVIEEN,LAVIEEN,17,1644.75
TATUAPÉ,ESTÉTICA,CARBOXITERAPIA,38,916.5600000000001
TATUAPÉ,ESTÉTICA,HECCUS,35,756.0
TATUAPÉ,ESTÉTICA,HIDRATAÇÃO,220,5095.2
TATUAPÉ,ESTÉTICA,LIMPEZA DE PELE,258,10252.92
TATUAPÉ,ESTÉTICA,PEELING DE DIAMANTE,879,28752.09
TATUAPÉ,ESTÉTICA,PRÓ- SHAPE,8,317.6
TATUAPÉ,ESTÉTICA,RADIOFREQUÊNCIA,129,3695.85
TATUAPÉ,LAVIEEN,LAVIEEN,837,80979.75
TATUAPÉ,MEDICINA ESTÉTICA,BOTOX POWER,2,615.64
TIJUCA,ESTÉTICA,CARBOXITERAPIA,29,699.48
TIJUCA,ESTÉTICA,HECCUS,64,1382.4
TIJUCA,ESTÉTICA,HIDRATAÇÃO,141,3265.56
TIJUCA,ESTÉTICA,LIMPEZA DE PELE,107,4252.18
TIJUCA,ESTÉTICA,PEELING DE DIAMANTE,759,24826.89
TIJUCA,ESTÉTICA,PRÓ- SHAPE,9,357.3
TIJUCA,ESTÉTICA,RADIOFREQUÊNCIA,260,7449.0
TIJUCA,LAVIEEN,LAVIEEN,740,71595.0
TIJUCA,MEDICINA ESTÉTICA,BOTOX POWER,2,615.64
TUCURUVI,ESTÉTICA,CARBOXITERAPIA,4,96.48
TUCURUVI,ESTÉTICA,HECCUS,35,756.0
TUCURUVI,ESTÉTICA,HIDRATAÇÃO,81,1875.96
TUCURUVI,ESTÉTICA,LIMPEZA DE PELE,151,6000.740000000001
TUCURUVI,ESTÉTICA,PEELING DE DIAMANTE,496,16224.16
TUCURUVI,ESTÉTICA,PRÓ- SHAPE,4,158.8
TUCURUVI,ESTÉTICA,RADIOFREQUÊNCIA,104,2979.6
TUCURUVI,LAVIEEN,LAVIEEN,600,58050.0
TUCURUVI,MEDICINA ESTÉTICA,BOTOX POWER,2,615.64
VILA MASCOTE,ESTÉTICA,HIDRATAÇÃO,5,115.8
VILA MASCOTE,ESTÉTICA,LIMPEZA DE PELE,7,278.18
VILA MASCOTE,ESTÉTICA,PEELING DE DIAMANTE,15,490.65000000000003
VILA MASCOTE,LAVIEEN,LAVIEEN,110,10642.5
